dataset,algorithm,fold,roc_auc,train_time_s,inference_time_s,error
credit-g,random_forest,0,0.7825595238095236,0.16959497705101967,0.00998489698395133,
credit-g,random_forest,1,0.7800595238095238,0.1622607819736004,0.009920381009578705,
credit-g,random_forest,2,0.7613095238095239,0.1617702100193128,0.010638301027938724,
credit-g,random_forest,3,0.8147619047619048,0.16196356806904078,0.009798899991437793,
credit-g,random_forest,4,0.7673214285714285,0.1604167630430311,0.009799981024116278,
credit-g,xgboost,0,0.7873809523809524,0.3201721579534933,0.0057282710913568735,
credit-g,xgboost,1,0.7505952380952381,0.08922404795885086,0.005774509045295417,
credit-g,xgboost,2,0.7869047619047619,0.08772352093365043,0.005370737053453922,
credit-g,xgboost,3,0.7825000000000001,0.08872068801429123,0.00543203903362155,
credit-g,xgboost,4,0.7845238095238095,0.08738058898597956,0.005351569037884474,
credit-g,lightgbm,0,0.7780952380952382,0.14735945500433445,0.005702012102119625,
credit-g,lightgbm,1,0.7411904761904762,0.14258283295203,0.004889799980446696,
credit-g,lightgbm,2,0.7394047619047619,0.14117982098832726,0.004832274978980422,
credit-g,lightgbm,3,0.8020238095238095,0.16914398490916938,0.0054125499445945024,
credit-g,lightgbm,4,0.7730952380952381,0.153130768914707,0.004575461964122951,
credit-g,catboost,0,0.8044047619047618,7.9119725859491155,0.0037390850484371185,
credit-g,catboost,1,0.7486904761904761,8.651424348005094,0.0034585859393700957,
credit-g,catboost,2,0.7767857142857143,8.29858499392867,0.003339299000799656,
credit-g,catboost,3,0.8313095238095237,8.238620951073244,0.002822718000970781,
credit-g,catboost,4,0.7853571428571429,8.15846320008859,0.003639745991677046,
credit-g,tabpfn,0,0.7927380952380952,1.3868533900240436,2.184230384998955,
credit-g,tabpfn,1,0.7632142857142857,0.6873334560077637,0.47877441497985274,
credit-g,tabpfn,2,0.7958333333333333,0.5952170249074697,0.4778226660564542,
credit-g,tabpfn,3,0.8317857142857144,0.5955180539749563,0.48132500902283937,
credit-g,tabpfn,4,0.8058333333333334,0.6144887179834768,0.4787814470473677,
credit-g,tabicl,0,0.7870238095238095,0.4335582609055564,0.15196656400803477,
credit-g,tabicl,1,0.7660714285714285,0.5602481178939342,0.10482168290764093,
credit-g,tabicl,2,0.8004761904761906,0.36698464292567223,0.10442211804911494,
credit-g,tabicl,3,0.8172619047619047,0.36873840796761215,0.105225675040856,
credit-g,tabicl,4,0.8114285714285715,0.3654838459333405,0.10414537496399134,
